location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Rangwasa,1062,2,2,flat,affordable,1898,0.52,0.3,0.48,0.32,0.2,0,28.6
Bicholi Mardana,2561,4,3,independent,premium,2851,4.39,2.14,3.0,1.47,3.65,0,211.54
Super Corridor,1453,3,2,flat,elite,2971,0.49,0.58,0.75,0.76,2.16,0,72.32
Sanwer Road,700,2,2,flat,affordable,1447,0.2,0.14,0.24,0.31,0.1,0,18.14
Navlakha,1368,3,2,independent,premium,3226,2.34,1.24,2.89,1.31,2.21,0,101.97
Bicholi Hapsi,2233,3,2,independent,classic,2003,2.37,1.08,2.4,0.69,2.24,0,139.09
Rau Pithampur Road,1063,2,2,independent,affordable,1671,0.58,0.36,1.62,0.45,0.18,0,51.36
Banganga,700,2,2,flat,affordable,1357,0.21,0.13,0.4,0.31,0.09,0,21.5
Jetpura,700,2,2,flat,affordable,1365,0.15,0.06,0.39,0.22,0.1,0,18.68
Scheme 54,1797,2,3,flat,classic,1528,0.68,0.31,0.39,0.35,1.37,1,72.27
Scheme 136,1822,3,2,independent,premium,2818,2.05,1.14,3.33,1.38,2.57,0,115.63
Bhawarkuan,957,2,2,flat,classic,1592,0.18,0.19,0.37,0.21,0.76,0,37.81
New Palasia,1328,3,3,flat,elite,3107,0.61,0.4,0.76,0.54,2.06,0,82.85
Vijay Nagar,1281,3,2,independent,premium,3267,2.86,0.78,3.24,0.88,2.09,1,75.11
Dewas Naka,1912,2,2,independent,classic,2368,2.53,1.06,1.95,1.12,2.26,0,110.23
Vijay Nagar,2273,3,2,independent,premium,2469,2.92,1.19,3.23,0.96,2.81,0,190.97
Rau Pithampur Road,2122,3,2,independent,affordable,1569,2.25,0.68,1.74,0.72,0.33,0,117.93
Scheme 54,1876,2,2,independent,classic,2844,2.47,0.82,1.33,1.02,2.67,1,83.39
Bhawrasla,1019,2,2,flat,classic,2292,0.38,0.31,0.35,0.22,1.17,0,35.91
Rau,1462,1,1,flat,classic,1842,0.34,0.28,0.46,0.24,1.35,0,55.42
Scheme 71,2842,3,3,independent,classic,2434,3.54,1.91,2.42,0.92,3.46,0,150.9
Khajrana,746,2,3,flat,affordable,1509,0.21,0.1,0.22,0.28,0.11,1,19.93
Manglia,1967,2,2,independent,affordable,1705,1.11,0.79,0.76,0.69,0.34,0,89.26
Talawali Chanda,1796,3,3,independent,classic,2844,1.54,1.38,1.53,0.64,2.55,1,101.37
Rau,1342,2,2,independent,classic,2012,1.3,0.48,2.34,1.18,1.35,0,85.04
Navlakha,3716,4,3,independent,premium,3013,4.13,1.71,1.37,1.21,5.6,0,291.27
Bijalpur,1953,3,2,flat,classic,2032,0.48,0.53,0.43,0.38,1.98,1,88.86
Rangwasa,1085,2,2,flat,affordable,1764,0.51,0.21,0.55,0.25,0.19,1,26.28
Agrawal Nagar,1199,2,2,flat,classic,1757,0.43,0.26,0.47,0.24,1.05,0,52.17
Bhawrasla,1095,3,2,independent,classic,2155,1.17,0.53,1.36,0.95,1.18,0,81.9
Geeta Bhawan,1050,3,2,flat,classic,2277,0.63,0.26,0.38,0.2,1.2,1,33.93
Musakhedi,1561,2,2,independent,affordable,2349,1.47,0.93,0.92,0.6,0.37,0,74.49
Dewas Naka,2795,3,2,independent,classic,2541,2.9,1.91,1.34,0.7,3.55,0,160.45
Navlakha,1689,3,3,flat,premium,2374,0.65,0.32,0.77,0.5,2.01,0,73.92
Rau,2655,4,3,independent,classic,2202,1.91,1.1,1.3,0.93,2.92,0,155.36
Scheme 78,864,2,2,independent,affordable,1824,0.69,0.37,0.81,0.55,0.16,1,38.81
Palasia Square,1918,2,3,independent,classic,2554,1.62,0.77,1.58,0.62,2.45,0,125.89
Aerodrome Road,1050,3,2,flat,classic,2112,0.6,0.2,0.59,0.2,1.11,0,43.23
Scheme 94,1731,4,3,independent,premium,3150,1.93,0.87,3.45,1.57,2.73,1,98.88
Jetpura,700,2,2,flat,affordable,1842,0.22,0.07,0.34,0.32,0.13,1,20.41
Silicon City,1340,3,2,flat,affordable,1372,0.5,0.2,0.39,0.15,0.18,0,45.76
MR 11,1902,2,2,independent,classic,2549,3.01,1.18,1.24,1.11,2.42,0,127.2
MR 10,1750,5,5,independent,premium,2775,1.81,1.04,3.47,1.04,2.43,0,142.36
Bijalpur,2040,1,1,independent,classic,2723,2.89,0.98,1.22,0.94,2.78,0,144.97
New Palasia,4899,5,5,independent,elite,3390,6.99,3.72,3.21,1.56,8.3,0,539.01
MR 10,2030,2,2,flat,premium,2480,1.23,0.68,0.51,0.36,2.52,0,83.12
Sanwer Road,2211,3,2,independent,affordable,2241,3.33,1.25,1.8,0.57,0.5,0,80.66
Gandhi Nagar,2143,2,2,independent,affordable,1513,1.69,0.72,0.76,0.72,0.32,0,96.92
Scheme 136,1784,3,2,independent,premium,2981,2.93,0.84,1.76,0.86,2.66,1,131.89
Tejaji Nagar,1251,1,1,independent,affordable,1966,1.11,0.66,1.08,0.52,0.25,0,52.46
Tejaji Nagar,813,2,2,flat,affordable,1894,0.25,0.15,0.46,0.2,0.15,0,22.58
Scheme 103,2652,2,2,independent,classic,2798,4.79,1.46,2.27,0.9,3.71,0,169.53
Palasia Square,1828,4,4,independent,classic,2204,1.25,0.64,2.16,1.05,2.01,0,134.52
Navlakha,3701,4,4,independent,premium,2448,2.94,2.64,3.17,1.48,4.53,0,227.28
AB Bypass Road,2285,2,3,flat,premium,2325,1.21,0.38,0.32,0.4,2.66,0,101.38
Sneh Nagar,1400,4,3,flat,classic,1803,0.59,0.22,0.57,0.38,1.26,0,50.58
AB Bypass Road,1085,3,2,flat,premium,2105,0.43,0.22,0.84,0.29,1.14,0,51.94
MR 11,700,2,2,flat,classic,1837,0.34,0.17,0.34,0.27,0.64,0,27.28
Scheme 136,2938,4,3,independent,premium,2913,5.34,1.99,3.16,1.21,4.28,0,217.37
Manglia,731,1,1,independent,affordable,2394,1.12,0.51,1.06,0.47,0.17,0,33.55
Sudama Nagar,2546,2,2,independent,classic,1965,2.26,0.75,1.92,0.86,2.5,1,131.09
Palasia Square,1050,3,2,flat,classic,1852,0.27,0.29,0.44,0.48,0.97,0,40.26
Agrawal Nagar,1050,3,2,flat,classic,2266,0.48,0.15,0.33,0.38,1.19,0,39.3
Silicon City,771,1,1,independent,affordable,1569,0.66,0.27,1.53,0.61,0.12,0,33.26
Rau Pithampur Road,1361,2,2,independent,affordable,2094,1.53,0.71,1.26,0.81,0.28,0,54.05
Palhar Nagar,700,2,2,flat,affordable,1613,0.22,0.09,0.56,0.2,0.11,1,17.1
Jetpura,1435,2,2,flat,affordable,1733,0.28,0.2,0.45,0.28,0.25,1,34.35
AB Road,1750,5,4,independent,premium,2757,3.36,0.91,1.86,1.42,2.41,0,144.0
Old Palasia,2947,2,3,flat,elite,2918,1.55,1.27,1.06,0.56,4.3,1,148.08
Saket Nagar,2244,3,2,independent,affordable,1593,1.69,0.98,1.35,0.81,0.36,1,87.56
AB Road,1757,3,2,flat,premium,2350,0.51,0.27,0.6,0.32,2.06,1,76.81
Nihalpur Mundi,2761,3,2,independent,classic,2561,3.82,1.75,2.03,1.05,3.54,1,122.94
MR 10,1784,1,2,flat,premium,1895,0.49,0.34,0.89,0.5,1.69,0,71.64
Palhar Nagar,1554,1,1,independent,affordable,1569,1.53,0.51,1.24,0.53,0.24,0,67.09
Ring Road,1780,2,2,flat,classic,1975,0.75,0.31,0.6,0.48,1.76,1,42.46
Sapna Sangeeta Road,3470,3,2,flat,elite,2658,2.36,1.35,1.01,0.73,4.61,0,196.62
Super Corridor,2258,3,2,flat,elite,2547,1.42,0.55,0.58,0.53,2.88,1,100.74
Khajrana,1383,1,1,flat,affordable,1360,0.56,0.2,0.41,0.39,0.19,0,42.25
Ring Road,1050,3,3,flat,classic,2194,0.39,0.27,0.55,0.28,1.15,1,36.17
South Tukoganj,1577,2,2,flat,elite,2506,0.71,0.46,0.95,0.46,1.98,1,78.19
Tejaji Nagar,1468,2,2,flat,affordable,1652,0.58,0.23,0.58,0.27,0.24,1,37.82
Geeta Bhawan,1469,2,2,flat,classic,1689,0.41,0.3,0.66,0.4,1.24,0,68.02
Silicon City,1507,1,1,independent,affordable,2367,1.15,0.56,1.27,0.55,0.36,0,73.79
Limbodi,1961,1,2,independent,affordable,2387,2.62,0.77,0.8,0.8,0.47,1,70.83
South Tukoganj,1243,2,2,flat,elite,2773,0.52,0.45,0.74,0.8,1.72,1,61.85
Bhawrasla,1685,2,3,flat,classic,1648,0.39,0.21,0.37,0.32,1.39,0,59.0
Musakhedi,1360,3,2,flat,affordable,1468,0.4,0.29,0.54,0.38,0.2,0,34.99
Kanadia Road,1631,3,2,flat,classic,1537,0.4,0.24,0.34,0.42,1.25,1,54.35
Mahalaxmi Nagar,1615,3,3,flat,premium,2469,0.57,0.25,0.9,0.3,1.99,0,86.8
Annapurna Road,1050,3,2,flat,classic,2145,0.23,0.16,0.52,0.41,1.13,0,40.49
Janki Nagar,1225,3,3,independent,premium,3274,1.3,0.79,3.48,1.14,2.01,1,79.53
Scheme 54,1172,3,2,flat,classic,2267,0.41,0.21,0.36,0.24,1.33,1,38.94
AB Road,1400,4,3,flat,premium,1951,0.46,0.39,0.86,0.4,1.37,0,55.18
Banganga,1491,1,2,flat,affordable,1836,0.62,0.22,0.51,0.27,0.27,1,40.2
Saket Nagar,1050,3,3,flat,affordable,1238,0.31,0.1,0.59,0.3,0.13,0,30.89
Tilak Nagar,1705,2,2,independent,classic,2645,2.24,1.08,1.21,1.09,2.26,0,118.44
Rau,2613,4,3,independent,classic,2238,4.02,0.97,1.75,0.86,2.92,0,168.43
Nipania,3282,4,3,independent,elite,3647,8.23,3.03,4.06,1.87,5.98,0,315.09
Banganga,1191,2,2,independent,affordable,1802,1.4,0.49,1.14,0.85,0.21,1,41.12
Bijalpur,2636,3,2,independent,classic,2043,3.03,1.01,1.97,0.65,2.69,0,206.5
Gandhi Nagar,700,2,3,flat,affordable,1509,0.18,0.13,0.6,0.17,0.11,0,24.92
Annapurna Road,1613,3,2,independent,classic,2661,1.59,1.02,2.41,0.97,2.15,0,109.22
Palhar Nagar,1852,1,1,independent,affordable,1537,1.38,0.61,1.3,0.77,0.28,1,73.64
Bengali Square,2318,2,3,flat,premium,2066,1.28,0.37,0.68,0.32,2.39,0,120.65
Piplya Kumar,1947,3,2,flat,classic,1566,0.51,0.28,0.55,0.31,1.52,0,67.49
Scheme 136,2419,2,2,flat,premium,2249,0.83,0.34,0.65,0.39,2.72,0,130.34
Nihalpur Mundi,1287,2,3,independent,classic,2842,1.9,0.82,1.5,1.03,1.83,0,88.69
Geeta Bhawan,1171,2,3,flat,classic,1810,0.6,0.18,0.62,0.49,1.06,0,53.56
Palasia Square,2731,3,2,independent,classic,2636,4.18,2.11,2.09,1.02,3.6,0,173.36
Ring Road,1050,3,3,flat,classic,1752,0.49,0.11,0.43,0.33,0.92,1,28.92
Kanadia Road,1396,1,1,flat,classic,1717,0.53,0.24,0.33,0.42,1.2,0,48.56
Bicholi Mardana,2380,4,3,flat,premium,2168,0.53,0.4,0.61,0.47,2.58,0,108.81
Sukhliya,1050,3,2,flat,classic,2273,0.37,0.16,0.41,0.38,1.19,1,38.89
Silicon City,1094,2,3,flat,affordable,1486,0.38,0.13,0.34,0.4,0.16,0,34.75
Gandhi Nagar,983,2,2,flat,affordable,1761,0.32,0.1,0.47,0.24,0.17,0,35.02
MR 10,1697,4,3,flat,premium,2345,0.69,0.26,0.58,0.29,1.99,0,77.43
South Tukoganj,2106,2,2,flat,elite,3074,0.66,0.47,0.85,0.48,3.24,0,117.08
Jetpura,1073,2,2,flat,affordable,1310,0.31,0.13,0.49,0.32,0.14,0,29.27
Rau,1050,3,2,flat,classic,1773,0.31,0.1,0.61,0.36,0.93,0,46.05
Dewas Naka,646,1,2,flat,classic,2075,0.28,0.13,0.7,0.27,0.67,0,21.8
Rajendra Nagar,3391,4,3,independent,premium,2640,5.89,2.07,3.45,1.45,4.48,0,270.77
Scheme 78,700,2,3,flat,affordable,1599,0.21,0.15,0.21,0.18,0.11,0,25.01
Mahalaxmi Nagar,1400,4,4,flat,premium,2325,0.45,0.21,1.0,0.47,1.63,0,64.11
Super Corridor,1676,4,4,independent,elite,3128,3.57,0.91,2.97,1.94,2.62,0,159.9
South Tukoganj,2859,3,2,flat,elite,2598,1.5,0.73,0.71,0.72,3.71,1,125.94
Silicon City,1050,3,2,flat,affordable,1401,0.24,0.2,0.29,0.28,0.15,0,32.07
Dewas Naka,933,2,3,flat,classic,1799,0.42,0.24,0.5,0.39,0.84,1,29.18
Agrawal Nagar,1339,3,2,flat,classic,1742,0.27,0.32,0.33,0.21,1.17,0,58.52
MR 11,1050,3,3,independent,classic,2321,1.44,0.46,1.92,1.03,1.22,0,64.63
Saket Nagar,2042,3,2,independent,affordable,1653,1.42,0.62,1.38,0.69,0.34,0,93.07
Super Corridor,2937,3,2,flat,elite,2375,1.97,0.64,0.71,0.56,3.49,1,152.05
Bicholi Hapsi,1806,2,3,independent,classic,1950,1.74,1.01,2.19,0.82,1.76,1,87.89
Banganga,1218,3,2,independent,affordable,2041,1.46,0.55,1.53,0.64,0.25,1,50.33
Annapurna Road,1562,1,1,flat,classic,2114,0.47,0.33,0.3,0.42,1.65,0,59.81
MR 10,2915,4,3,independent,premium,2550,3.73,2.01,2.27,1.19,3.72,0,228.37
Aerodrome Road,1050,3,2,flat,classic,1500,0.41,0.21,0.63,0.22,0.79,0,39.38
Rau Pithampur Road,1501,3,2,flat,affordable,1843,0.37,0.33,0.59,0.23,0.28,1,40.49
Rau Pithampur Road,1195,3,3,independent,affordable,1864,1.38,0.41,1.22,0.41,0.22,0,50.24
Dewas Naka,1534,2,3,flat,classic,1678,0.77,0.17,0.68,0.41,1.29,0,60.11
Nipania,1050,3,2,flat,elite,2832,0.67,0.31,0.47,0.72,1.49,0,59.5
Scheme 103,1688,1,1,independent,classic,2848,1.47,1.32,1.25,0.84,2.4,0,75.57
Sapna Sangeeta Road,1315,2,2,flat,elite,2741,0.67,0.29,0.79,0.36,1.8,0,79.99
AB Bypass Road,1912,2,3,flat,premium,2548,1.41,0.3,0.97,0.38,2.44,0,81.08
Navlakha,1400,4,3,flat,premium,1834,0.47,0.25,0.85,0.41,1.28,0,72.95
Sudama Nagar,876,2,2,flat,classic,1879,0.47,0.12,0.56,0.24,0.82,0,37.25
Limbodi,2283,3,2,independent,affordable,1632,1.25,0.69,1.51,0.82,0.37,0,88.76
Limbodi,2038,2,2,independent,affordable,2317,2.45,0.78,1.61,0.47,0.47,0,86.33
Nihalpur Mundi,1542,2,2,flat,classic,2241,1.03,0.43,0.73,0.4,1.73,1,48.12
Gandhi Nagar,1928,2,2,independent,affordable,2226,1.52,0.73,1.72,0.45,0.43,1,73.51
Piplya Kumar,1050,3,2,flat,classic,1777,0.49,0.16,0.59,0.35,0.93,0,36.85
Scheme 103,1199,3,2,flat,classic,2154,0.3,0.2,0.79,0.44,1.29,0,43.47
Nihalpur Mundi,1747,2,2,flat,classic,2100,0.84,0.34,0.62,0.36,1.83,1,54.22
Tejaji Nagar,2227,3,2,independent,affordable,2291,1.94,1.01,1.05,0.45,0.51,0,100.33
Dewas Naka,2810,3,3,independent,classic,2855,5.46,2.04,1.76,0.71,4.01,1,142.61
AB Road,1591,1,1,flat,premium,2211,0.94,0.33,0.7,0.43,1.76,1,61.66
Sneh Nagar,2831,2,3,independent,classic,2020,2.28,1.54,1.2,1.2,2.86,0,159.18
AB Road,1872,3,2,independent,premium,2512,2.07,1.32,1.74,0.86,2.35,0,158.71
Vijay Nagar,3663,5,4,independent,premium,3196,3.87,2.25,2.59,1.01,5.85,0,292.13
Tilak Nagar,1855,3,2,flat,classic,1586,0.63,0.24,0.49,0.38,1.47,0,79.34
Lasuriya Mori,1741,1,2,flat,classic,2182,0.96,0.32,0.25,0.37,1.9,1,51.25
Scheme 140,3178,3,2,flat,elite,3098,2.51,0.57,1.19,0.44,4.92,1,155.12
Sukhliya,2056,3,2,independent,classic,2331,2.94,1.01,1.11,1.02,2.4,0,145.55
Silicon City,776,2,2,flat,affordable,1463,0.23,0.09,0.21,0.27,0.11,1,21.56
Vijay Nagar,2211,4,3,independent,premium,2492,2.66,1.15,3.21,1.0,2.76,0,189.95
Bhawarkuan,2394,3,3,independent,classic,2335,2.58,1.15,2.24,0.69,2.79,0,178.23
Bengali Square,2855,3,2,independent,premium,2691,4.19,2.19,3.42,1.32,3.84,0,217.82
Sukhliya,1400,4,3,flat,classic,2028,0.85,0.18,0.66,0.24,1.42,0,57.59
Limbodi,1696,3,2,independent,affordable,1763,1.37,0.89,1.54,0.62,0.3,0,79.86
Limbodi,1649,1,1,independent,affordable,2395,2.4,0.8,1.38,0.57,0.39,0,77.17
Sukhliya,1965,2,2,flat,classic,2093,0.49,0.54,0.8,0.44,2.06,0,74.3
Scheme 78,1050,3,2,independent,affordable,1743,0.63,0.51,0.87,0.45,0.18,1,37.7
Scheme 78,834,2,2,flat,affordable,1358,0.12,0.12,0.26,0.15,0.11,1,20.17
Tejaji Nagar,1931,2,2,independent,affordable,2149,1.74,1.17,0.88,0.53,0.41,1,59.1
Sanwer Road,1278,2,2,independent,affordable,1757,1.34,0.39,1.07,0.7,0.22,0,52.66
Lasuriya Mori,1628,3,2,flat,classic,1587,0.63,0.17,0.51,0.31,1.29,0,54.09
Aerodrome Road,1759,3,2,flat,classic,1851,0.42,0.32,0.77,0.42,1.63,0,71.47
Lasuriya Mori,1917,3,2,flat,classic,2139,1.22,0.54,0.26,0.29,2.05,1,62.1
Talawali Chanda,2360,4,3,independent,classic,2304,2.71,1.11,2.48,1.02,2.72,0,145.05
Scheme 140,1749,3,2,flat,elite,3168,1.05,0.55,0.6,0.54,2.77,0,92.36
Sanwer Road,936,2,2,flat,affordable,1436,0.3,0.09,0.38,0.28,0.13,0,26.35
Rau Pithampur Road,990,1,2,flat,affordable,1299,0.38,0.18,0.42,0.3,0.13,0,32.45
Bhawarkuan,1102,2,2,flat,classic,2240,0.52,0.19,0.36,0.24,1.23,0,35.98
Dewas Naka,1883,2,2,flat,classic,2219,1.23,0.49,0.78,0.45,2.09,1,65.39
MG Road,1235,3,2,flat,premium,2553,0.43,0.43,0.82,0.34,1.58,1,65.16
Scheme 71,2027,2,2,independent,classic,2129,2.95,0.66,1.5,0.76,2.16,1,114.49
Ring Road,1833,1,1,flat,classic,1816,0.66,0.22,0.61,0.39,1.66,1,60.13
Ring Road,2917,2,3,independent,classic,2814,3.53,2.17,1.68,1.04,4.1,1,117.07
Geeta Bhawan,1066,3,2,independent,classic,1963,0.79,0.54,1.29,0.95,1.05,0,59.28
Palasia Square,1443,2,2,flat,classic,1783,0.42,0.37,0.49,0.41,1.29,0,50.49
Navlakha,2956,5,4,independent,premium,3011,3.03,1.86,2.42,1.6,4.45,1,225.03
Gandhi Nagar,821,2,2,flat,affordable,1321,0.12,0.11,0.45,0.38,0.11,0,23.31
Silicon City,1050,3,2,flat,affordable,1431,0.21,0.08,0.27,0.2,0.15,1,22.54
Scheme 94,1651,4,3,independent,premium,3007,2.44,1.39,1.37,1.32,2.48,0,119.63
Lasuriya Mori,1050,3,2,flat,classic,1985,0.41,0.29,0.46,0.27,1.04,0,42.7
Annapurna Road,2899,2,2,independent,classic,2265,4.55,1.81,1.72,1.13,3.28,0,178.02
Bengali Square,1063,3,3,flat,premium,2375,0.7,0.29,0.35,0.34,1.26,0,55.88
Silicon City,1167,3,2,independent,affordable,1930,1.48,0.54,1.18,0.48,0.23,1,38.45
AB Bypass Road,1309,3,2,independent,premium,3281,2.01,1.19,2.6,0.95,2.15,0,98.14
Gandhi Nagar,1135,2,3,flat,affordable,1711,0.52,0.26,0.59,0.27,0.19,1,30.55
Rau Pithampur Road,1713,1,1,independent,affordable,1813,1.54,0.92,1.54,0.83,0.31,0,70.25
Nihalpur Mundi,1050,3,2,flat,classic,1702,0.44,0.23,0.45,0.44,0.89,0,37.28
Palhar Nagar,1934,2,2,independent,affordable,2371,2.56,0.8,1.24,0.49,0.46,0,77.67
Bengali Square,1817,4,4,flat,premium,2575,1.04,0.42,0.75,0.39,2.34,0,87.18
Dewas Naka,1481,4,3,independent,classic,2730,1.6,0.74,1.91,1.09,2.02,1,91.76
Old Palasia,3165,3,2,flat,elite,2534,1.73,0.47,1.17,0.62,4.01,0,187.25
Jetpura,700,2,2,flat,affordable,1839,0.27,0.11,0.34,0.18,0.13,0,20.76
Limbodi,1063,1,2,flat,affordable,1229,0.35,0.13,0.44,0.33,0.13,0,28.97
Bicholi Hapsi,1147,3,3,independent,classic,2456,1.34,0.84,1.09,0.98,1.41,1,61.24
Sukhliya,2568,2,2,independent,classic,2899,3.08,1.33,1.7,0.9,3.72,0,151.48
MG Road,2645,3,3,independent,premium,3378,5.44,1.48,3.01,0.94,4.47,0,229.6
Sudama Nagar,1800,3,2,independent,classic,2017,1.81,0.98,1.98,0.74,1.82,0,103.28
Bicholi Mardana,1106,3,2,independent,premium,2562,1.97,0.46,2.79,0.94,1.42,0,70.85
Navlakha,2776,3,2,independent,premium,3163,5.25,1.64,2.9,1.4,4.39,0,178.94
Rau Pithampur Road,562,1,1,flat,affordable,1398,0.14,0.08,0.44,0.34,0.08,0,17.03
AB Road,2141,4,4,independent,premium,3135,2.52,1.12,2.5,1.37,3.36,1,113.77
Scheme 78,768,2,2,independent,affordable,2129,0.62,0.48,0.73,0.57,0.16,1,31.55
Vijay Nagar,2134,2,3,flat,premium,2262,1.03,0.4,0.52,0.29,2.41,0,102.12
MG Road,1514,4,3,independent,premium,3201,2.33,1.25,2.59,1.19,2.42,1,130.73
Scheme 136,2987,3,2,independent,premium,2498,3.22,1.27,1.64,1.35,3.73,1,162.93
Scheme 136,1145,3,2,flat,premium,1885,0.37,0.14,0.75,0.58,1.08,0,54.04
Sukhliya,2261,2,2,independent,classic,1932,2.41,1.13,2.33,0.98,2.18,1,104.52
Vijay Nagar,3063,3,3,independent,premium,2414,4.87,1.14,1.83,0.83,3.7,0,286.88
Mahalaxmi Nagar,1750,5,4,independent,premium,3156,3.41,1.24,3.27,1.01,2.76,0,147.55
Banganga,1131,2,3,flat,affordable,1736,0.32,0.15,0.46,0.16,0.2,1,26.61
Dewas Naka,2465,2,2,independent,classic,2792,3.99,1.19,2.3,0.78,3.44,0,147.94
Bengali Square,3597,5,4,independent,premium,2896,3.2,2.09,1.7,1.34,5.21,1,268.23
Kanadia Road,1461,1,1,independent,classic,2269,1.28,0.76,2.25,0.79,1.66,1,71.81
Chandan Nagar,1349,2,2,flat,affordable,1486,0.51,0.2,0.32,0.36,0.2,0,37.83
Scheme 136,2623,2,2,independent,premium,2848,3.17,1.68,2.05,1.41,3.74,0,204.78
Sukhliya,1876,2,2,independent,classic,1962,1.22,0.56,1.85,0.98,1.84,1,99.94
Limbodi,2015,1,1,independent,affordable,1600,1.11,0.54,0.74,0.67,0.32,0,76.27
Super Corridor,1444,4,3,independent,elite,3368,3.34,0.86,4.15,1.78,2.43,0,152.41
MR 10,2394,4,3,flat,premium,2445,0.8,0.85,0.57,0.37,2.93,0,119.36
Khajrana,1677,3,2,independent,affordable,1812,1.64,0.7,1.42,0.69,0.3,1,65.87
Khandwa Road,1171,2,2,flat,classic,2221,0.55,0.31,0.26,0.45,1.3,0,44.03
AB Bypass Road,1849,5,4,independent,premium,3045,2.33,1.09,3.38,1.59,2.82,0,164.11
Lasuriya Mori,2182,2,2,independent,classic,2287,3.1,1.04,1.31,0.64,2.49,1,100.81
Rajendra Nagar,1400,4,3,independent,premium,2460,1.48,0.59,2.86,1.23,1.72,1,78.35
Super Corridor,1471,4,4,independent,elite,3981,2.11,1.29,3.64,1.4,2.93,0,130.39
Bicholi Mardana,1244,2,3,flat,premium,2193,0.76,0.36,0.3,0.36,1.36,0,53.37
Khajrana,1398,1,1,flat,affordable,1609,0.52,0.33,0.53,0.19,0.22,1,40.19
Gandhi Nagar,1050,3,2,flat,affordable,1883,0.41,0.19,0.43,0.39,0.2,0,33.92
Saket Nagar,1481,3,3,flat,affordable,1290,0.48,0.21,0.32,0.18,0.19,0,55.42
Mahalaxmi Nagar,2223,3,2,independent,premium,2721,2.14,1.18,2.56,1.15,3.02,0,161.05
Scheme 140,2183,5,4,independent,elite,3678,5.06,1.38,4.05,1.54,4.01,0,197.71
Sapna Sangeeta Road,1130,3,2,flat,elite,3192,0.64,0.39,0.73,0.72,1.8,0,73.94
Bijalpur,1067,3,2,independent,classic,2659,0.92,0.64,1.84,1.02,1.42,0,83.89
Palasia Square,1447,2,2,independent,classic,2153,2.18,0.59,1.35,0.97,1.56,0,88.64
Bicholi Hapsi,1943,2,2,flat,classic,1626,0.66,0.32,0.5,0.48,1.58,1,52.9
Bicholi Hapsi,1121,3,3,independent,classic,1931,1.31,0.63,1.58,0.74,1.08,1,60.0
Nipania,1314,3,2,independent,elite,2998,1.83,1.05,3.1,1.99,1.97,0,127.66
Musakhedi,1538,1,1,independent,affordable,1674,1.21,0.58,1.25,0.66,0.26,1,60.03
Limbodi,1074,3,2,flat,affordable,1835,0.42,0.25,0.57,0.19,0.2,0,29.32
Bengali Square,1467,3,2,flat,premium,1880,0.63,0.38,0.92,0.59,1.38,0,66.8
AB Road,1505,3,2,flat,premium,2435,0.63,0.53,0.67,0.46,1.83,1,54.93
MR 10,2859,4,3,independent,premium,2415,3.4,1.38,2.29,1.26,3.45,0,264.32
Navlakha,1400,4,4,independent,premium,2483,1.05,0.54,2.54,1.41,1.74,0,119.57
Scheme 136,1383,2,2,flat,premium,2453,0.93,0.39,0.61,0.48,1.7,0,57.54
Nipania,2438,2,2,flat,elite,2639,0.9,0.9,0.78,0.58,3.22,0,120.39
Agrawal Nagar,1408,3,2,independent,classic,2308,1.48,0.89,1.04,0.78,1.62,0,92.8
Piplya Kumar,2954,2,2,independent,classic,2083,3.83,1.49,1.29,0.88,3.08,0,201.85
Jetpura,1373,2,2,flat,affordable,1466,0.41,0.29,0.4,0.34,0.2,0,37.42
Tilak Nagar,2525,3,2,independent,classic,1945,2.88,1.42,2.08,0.95,2.46,1,112.01
Agrawal Nagar,880,1,2,independent,classic,2130,1.16,0.31,2.19,0.83,0.94,1,40.22
Rangwasa,1398,2,3,flat,affordable,1226,0.51,0.17,0.55,0.38,0.17,0,38.96
Ring Road,1050,3,3,flat,classic,1590,0.46,0.24,0.51,0.39,0.83,0,34.23
Agrawal Nagar,1440,3,2,independent,classic,2604,1.52,0.88,1.68,1.08,1.88,0,86.14
AB Bypass Road,1411,4,3,independent,premium,2724,2.13,1.08,2.47,1.41,1.92,0,99.86
Rajendra Nagar,2797,4,4,independent,premium,2682,3.69,1.63,1.57,1.14,3.75,1,199.93
Bicholi Mardana,1016,2,2,flat,premium,1884,0.45,0.13,0.85,0.36,0.96,0,40.29
Pipliyahana,1050,3,2,flat,classic,2057,0.62,0.16,0.35,0.38,1.08,0,44.02
Scheme 71,1876,2,2,flat,classic,1871,0.54,0.49,0.3,0.24,1.75,0,73.74
Musakhedi,790,2,2,flat,affordable,1364,0.26,0.11,0.33,0.22,0.11,0,26.12
MR 11,1136,3,2,flat,classic,1690,0.46,0.27,0.3,0.37,0.96,0,37.36
Scheme 71,809,2,2,flat,classic,1740,0.16,0.12,0.79,0.23,0.7,0,25.95
Sneh Nagar,2498,1,2,independent,classic,1967,3.29,0.93,1.55,0.63,2.46,0,160.06
Scheme 136,2825,3,2,independent,premium,3360,4.1,2.69,3.16,0.97,4.75,0,240.67
Scheme 78,1464,3,3,flat,affordable,1552,0.35,0.28,0.56,0.32,0.23,0,49.98
