location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
HSR Layout,1400,4,3,flat,premium,2706,0.69,0.44,1.27,0.78,1.89,0,178.24
Electronic City,2649,3,3,independent,mid,2470,3.18,1.06,2.47,0.86,3.27,1,181.53
Kengeri,3025,2,2,independent,mid,2544,5.19,2.21,1.78,0.92,3.85,0,306.51
Vidyaranyapura,1386,3,2,flat,mid,2024,0.79,0.25,0.59,0.48,1.4,0,94.03
Chandapura,2488,2,2,independent,affordable,1987,2.73,1.04,0.94,0.97,0.49,0,132.17
Hoodi,1050,3,2,flat,mid,1855,0.47,0.22,0.47,0.29,0.97,0,63.37
Indiranagar,2224,4,3,flat,ultra_premium,2837,0.86,0.37,0.72,0.75,3.15,0,423.07
Hebbal,3522,4,3,independent,premium,2910,4.08,1.75,4.09,1.45,5.12,1,462.49
Bellandur,700,2,2,flat,premium,2799,0.58,0.24,1.14,0.47,0.98,1,54.36
Bellandur,1918,3,2,flat,premium,2552,0.85,0.42,1.14,0.68,2.45,0,179.63
HSR Layout,2610,2,3,flat,premium,2485,0.93,0.56,0.78,0.39,3.24,0,297.6
Bannerghatta Road,2115,3,2,flat,premium,2956,0.87,0.49,1.48,0.49,3.13,0,212.82
Thanisandra,1659,3,2,flat,premium,2749,0.88,0.33,0.83,0.78,2.28,0,158.99
Basavanagudi,4723,4,3,independent,ultra_premium,4921,11.97,3.54,3.27,1.78,11.62,0,799.79
Bagalur,1164,2,3,flat,affordable,1988,0.41,0.12,0.56,0.24,0.23,0,63.15
Yelahanka,1713,2,2,independent,mid,2895,1.54,1.18,2.82,1.28,2.48,0,206.84
Varthur,1444,3,2,flat,mid,2126,0.44,0.18,0.96,0.5,1.53,1,84.48
Mysore Road,2184,3,2,flat,mid,2009,0.44,0.61,0.5,0.34,2.19,1,120.6
KR Puram,2176,4,3,independent,mid,2023,2.21,1.17,1.44,1.32,2.2,1,178.07
JP Nagar,1294,2,2,flat,premium,2423,0.73,0.28,0.76,0.5,1.57,0,106.68
HSR Layout,2676,4,3,independent,premium,3666,4.06,2.71,2.97,1.65,4.9,0,535.37
HSR Layout,1254,2,2,flat,premium,2589,0.35,0.34,1.2,0.47,1.62,1,127.87
TC Palaya,725,2,2,independent,affordable,2133,0.89,0.43,0.98,0.97,0.15,0,48.71
Tumkur Road,2156,3,2,flat,mid,2303,1.32,0.74,0.74,0.56,2.48,0,95.52
Malleshwaram,2112,3,2,independent,premium,3000,4.22,1.69,2.68,0.98,3.17,0,285.04
Chandapura,1412,3,2,flat,affordable,1394,0.36,0.21,0.44,0.45,0.2,0,45.42
Devanahalli,1079,2,2,independent,affordable,2419,0.79,0.46,1.94,0.94,0.26,0,79.89
Devanahalli,1021,2,3,flat,affordable,1956,0.38,0.21,0.62,0.4,0.2,1,42.2
Ulsoor,1750,5,4,flat,ultra_premium,3266,1.12,0.76,1.51,0.69,2.86,1,183.31
Indiranagar,4114,3,2,independent,ultra_premium,4937,12.58,3.94,5.44,1.98,10.16,0,814.64
Koramangala,1400,4,3,flat,ultra_premium,3832,0.91,0.33,0.77,0.86,2.68,0,218.77
TC Palaya,700,2,2,flat,affordable,1903,0.31,0.09,0.37,0.37,0.13,1,21.66
Ulsoor,1611,4,3,independent,ultra_premium,3219,2.38,1.04,4.21,2.32,2.59,1,275.59
Indiranagar,1430,4,3,flat,ultra_premium,3587,0.58,0.42,1.25,0.87,2.56,1,209.72
Bagalur,1640,3,2,flat,affordable,1344,0.24,0.26,0.75,0.32,0.22,0,71.11
Thanisandra,1416,3,2,flat,premium,2737,0.55,0.25,0.62,0.61,1.94,1,99.91
Hoskote,1785,2,2,flat,affordable,1707,0.7,0.39,0.75,0.28,0.3,1,51.92
Nelamangala,1465,2,2,independent,affordable,2073,0.96,0.48,0.96,0.53,0.3,0,87.95
Chandapura,792,2,3,flat,affordable,1384,0.27,0.1,0.64,0.39,0.11,1,28.52
Electronic City,1998,3,2,flat,mid,2059,0.71,0.43,0.74,0.35,2.06,0,87.1
Hebbal,2447,4,3,independent,premium,2650,2.82,1.34,3.06,1.32,3.24,1,346.28
Marathahalli,3259,3,2,independent,premium,3897,4.55,3.11,3.4,1.01,6.35,1,305.07
MG Road,2785,2,2,flat,ultra_premium,3297,2.53,0.99,0.64,0.81,4.59,1,406.23
Basavanagudi,4691,4,3,independent,ultra_premium,3185,7.22,3.13,5.1,1.52,7.47,0,915.56
Malleshwaram,1646,4,3,independent,premium,3322,3.7,0.96,2.59,1.04,2.73,0,254.34
Basavanagudi,1050,3,2,flat,ultra_premium,3052,0.95,0.3,1.2,0.95,1.6,0,106.22
Nelamangala,1416,2,2,independent,affordable,2474,1.63,0.64,1.52,0.81,0.35,0,80.83
Electronic City,1459,3,2,independent,mid,2448,1.84,0.78,3.25,1.16,1.79,0,127.74
JP Nagar,1841,4,4,flat,premium,2226,0.49,0.38,0.84,0.63,2.05,0,156.8
BTM Layout,1651,4,4,independent,premium,2874,2.02,1.4,3.99,0.91,2.37,0,249.16
Yelahanka,1556,3,3,flat,mid,2400,0.85,0.3,0.58,0.55,1.87,1,112.73
Jigani,563,1,1,flat,affordable,1734,0.25,0.14,0.76,0.48,0.1,1,17.78
Hoodi,710,2,3,flat,mid,1745,0.2,0.17,0.56,0.25,0.62,0,58.12
Bannerghatta Road,1832,2,3,flat,premium,3141,1.25,0.75,0.93,0.53,2.88,0,128.74
Thanisandra,1730,3,2,flat,premium,3155,0.62,0.42,0.58,0.68,2.73,1,129.52
Rajarajeshwari Nagar,2332,2,2,independent,mid,2055,1.51,1.07,1.79,1.15,2.4,0,150.63
TC Palaya,700,2,2,flat,affordable,1887,0.28,0.11,0.36,0.33,0.13,1,23.01
JP Nagar,2479,5,4,independent,premium,3033,3.75,2.11,3.89,0.98,3.76,0,338.58
Kengeri,1572,2,2,independent,mid,2811,1.65,0.93,1.36,1.08,2.21,0,120.04
Devanahalli,1398,3,2,flat,affordable,1880,0.48,0.37,0.8,0.43,0.26,0,58.6
Malleshwaram,1430,4,3,independent,premium,3515,2.37,0.84,3.73,1.1,2.51,1,176.08
Thanisandra,2585,4,3,flat,premium,2891,1.46,0.41,1.11,0.5,3.74,1,221.92
Bannerghatta Road,1400,4,3,flat,premium,3160,0.98,0.54,0.84,0.63,2.21,1,95.24
Hoskote,1489,2,2,independent,affordable,2263,1.91,0.92,1.05,0.97,0.34,1,81.66
Tumkur Road,2079,3,2,flat,mid,2318,0.7,0.32,0.9,0.28,2.41,1,68.43
Bellandur,2290,3,2,independent,premium,3555,3.17,1.54,3.18,1.19,4.07,1,225.45
Rajarajeshwari Nagar,927,2,2,flat,mid,2195,0.58,0.22,1.07,0.29,1.02,1,46.55
Whitefield,2260,1,1,flat,premium,2130,0.9,0.71,0.54,0.46,2.41,1,203.81
Vidyaranyapura,2156,2,2,flat,mid,1862,1.05,0.39,0.79,0.5,2.01,0,130.41
MG Road,3356,4,3,independent,ultra_premium,3005,3.2,2.03,4.4,1.29,5.04,1,583.67
Whitefield,1654,3,2,flat,premium,3040,1.49,0.52,1.29,0.72,2.51,0,211.25
Bagalur,928,1,1,independent,affordable,2081,1.35,0.54,1.23,0.66,0.19,0,53.52
Hebbal,3746,4,3,independent,premium,2667,3.84,2.21,4.42,1.59,5.0,0,691.84
Chandapura,1408,2,2,flat,affordable,1692,0.25,0.27,0.53,0.41,0.24,0,63.87
Mysore Road,1289,2,2,flat,mid,1643,0.46,0.12,0.98,0.48,1.06,0,66.11
Nelamangala,1666,1,1,flat,affordable,1965,0.98,0.43,0.37,0.41,0.33,1,65.03
Thanisandra,2495,3,2,flat,premium,2476,1.24,0.92,0.68,0.79,3.09,0,182.2
Sarjapur Road,3381,5,4,independent,premium,3853,5.62,3.81,1.87,1.24,6.51,0,512.39
Hoodi,1240,1,1,independent,mid,2857,1.11,0.69,2.6,0.89,1.77,0,132.66
Sarjapur Road,3355,4,3,independent,premium,2516,4.68,1.76,2.61,1.49,4.22,0,499.78
Rajarajeshwari Nagar,1646,3,3,flat,mid,2330,1.09,0.42,0.99,0.27,1.92,0,88.55
Hebbal,3436,2,3,independent,premium,3482,3.82,1.98,2.15,0.98,5.98,1,516.6
BTM Layout,2981,5,5,independent,premium,2835,2.65,1.91,2.65,1.06,4.23,0,323.46
Hoskote,2386,2,2,independent,affordable,2234,2.59,1.12,1.35,0.49,0.53,0,158.65
Nelamangala,1209,2,2,flat,affordable,1522,0.26,0.22,0.53,0.36,0.18,0,34.86
Jigani,1222,2,2,independent,affordable,2169,1.66,0.46,1.22,0.56,0.27,0,67.2
HSR Layout,3724,4,3,independent,premium,3080,4.41,2.81,4.44,1.18,5.73,0,707.16
Indiranagar,2200,5,4,independent,ultra_premium,4343,5.96,2.53,2.95,1.75,4.78,1,583.31
Bagalur,525,1,1,flat,affordable,1982,0.12,0.15,0.34,0.3,0.1,0,30.91
HSR Layout,1400,4,3,flat,premium,2814,0.87,0.35,0.77,0.38,1.97,0,160.09
Vidyaranyapura,1719,3,2,independent,mid,2951,1.53,1.02,2.34,1.25,2.54,0,139.89
Ulsoor,1681,4,3,independent,ultra_premium,4171,3.64,1.73,3.28,1.31,3.51,1,267.42
Ramamurthy Nagar,1615,3,3,independent,affordable,2157,1.2,0.57,1.89,0.81,0.35,1,115.58
Mysore Road,3176,3,2,independent,mid,3142,5.0,2.25,3.32,0.83,4.99,1,215.48
MG Road,1558,4,3,independent,ultra_premium,3352,2.01,0.79,2.54,2.28,2.61,0,436.13
Koramangala,3281,5,4,independent,ultra_premium,4216,6.25,3.62,3.12,2.22,6.92,0,702.83
Mysore Road,1170,3,3,independent,mid,2490,1.1,0.72,1.47,1.26,1.46,1,96.93
Jayanagar,1400,4,3,flat,ultra_premium,2977,0.82,0.57,1.31,0.82,2.08,0,193.33
Attibele,967,2,2,flat,affordable,1339,0.32,0.11,0.77,0.5,0.13,1,33.9
Kengeri,1442,3,2,independent,mid,2750,2.33,0.85,1.25,1.12,1.98,0,141.83
Ramamurthy Nagar,1105,2,3,flat,affordable,1490,0.3,0.14,0.47,0.24,0.16,0,40.95
Jayanagar,1251,3,2,flat,ultra_premium,3540,1.06,0.56,1.65,0.7,2.21,0,175.67
JP Nagar,2763,4,3,flat,premium,3179,0.98,0.87,1.27,0.38,4.39,0,235.7
Devanahalli,1530,2,2,flat,affordable,1797,0.56,0.14,0.76,0.22,0.27,0,60.9
KR Puram,1684,3,3,flat,mid,1814,0.82,0.41,0.7,0.36,1.53,0,98.58
Frazer Town,2174,4,3,independent,ultra_premium,3167,4.06,1.35,4.85,1.78,3.44,0,366.04
Hoodi,1400,4,3,flat,mid,1662,0.41,0.22,0.88,0.43,1.16,0,112.95
Marathahalli,878,2,3,flat,premium,2221,0.38,0.1,0.98,0.33,0.97,0,80.92
Electronic City,1152,2,2,flat,mid,1652,0.51,0.23,0.96,0.37,0.95,0,54.41
HSR Layout,3063,4,4,independent,premium,3605,5.42,1.86,4.31,1.31,5.52,0,481.85
Chandapura,1484,3,2,flat,affordable,1541,0.59,0.16,0.32,0.41,0.23,1,53.89
TC Palaya,2496,2,2,independent,affordable,1809,2.05,0.73,1.27,0.67,0.45,0,126.51
Banashankari,1050,3,2,independent,mid,2506,0.89,0.44,2.54,1.38,1.32,0,147.88
Bannerghatta Road,2651,3,2,flat,premium,2285,1.02,0.65,0.78,0.49,3.03,0,238.72
Koramangala,1967,4,3,flat,ultra_premium,2979,1.7,0.85,1.29,0.78,2.93,0,257.17
Vidyaranyapura,1980,3,3,flat,mid,1658,0.91,0.27,0.85,0.34,1.64,0,140.03
Devanahalli,1314,2,3,flat,affordable,1613,0.62,0.2,0.62,0.31,0.21,0,60.5
Hoodi,850,2,2,independent,mid,2107,0.95,0.44,2.39,0.75,0.9,0,105.46
Devanahalli,1716,3,2,independent,affordable,1698,1.51,0.48,1.69,0.54,0.29,0,113.3
Bellandur,1218,3,2,independent,premium,3298,1.97,0.74,3.71,1.07,2.01,0,185.31
Bannerghatta Road,1193,3,2,flat,premium,2746,0.79,0.42,1.01,0.71,1.64,0,114.32
Hebbal,2521,2,3,flat,premium,2951,1.15,0.84,1.33,0.65,3.72,0,263.08
Vidyaranyapura,1971,2,2,independent,mid,2570,3.24,1.51,2.65,1.23,2.53,1,171.79
Kengeri,1117,2,2,independent,mid,2153,1.46,0.7,3.39,1.14,1.2,0,86.91
Hoskote,1795,3,2,independent,affordable,2498,1.41,1.24,1.13,0.67,0.45,0,114.9
Mysore Road,1761,2,2,independent,mid,2049,1.45,1.07,1.62,0.97,1.8,0,146.56
KR Puram,1050,3,2,flat,mid,1657,0.2,0.13,0.54,0.52,0.87,1,50.36
Ulsoor,3447,3,2,flat,ultra_premium,2636,2.59,1.08,0.75,0.61,4.54,0,345.62
Horamavu,700,2,3,flat,mid,2251,0.23,0.16,0.77,0.26,0.79,0,42.77
Whitefield,2263,3,3,flat,premium,2849,1.24,0.84,0.68,0.78,3.22,0,218.48
Jayanagar,1454,4,3,independent,ultra_premium,4050,2.83,1.18,4.27,1.79,2.94,0,385.18
BTM Layout,2134,2,2,independent,premium,3535,3.45,2.13,4.45,1.34,3.77,0,282.56
Malleshwaram,2257,3,2,flat,premium,2166,0.87,0.59,0.55,0.47,2.44,0,198.28
HSR Layout,2796,2,2,flat,premium,2620,1.47,0.48,0.6,0.36,3.66,1,197.22
Frazer Town,1874,5,4,independent,ultra_premium,4941,3.19,1.76,3.98,2.29,4.63,1,247.98
Indiranagar,3491,4,3,flat,ultra_premium,2676,1.17,1.11,1.12,0.52,4.67,0,586.53
Jayanagar,1641,3,2,independent,ultra_premium,3700,3.72,1.81,3.22,2.34,3.04,0,295.74
Devanahalli,914,2,2,flat,affordable,1312,0.3,0.08,0.71,0.31,0.12,1,32.38
Malleshwaram,1609,2,2,flat,premium,2861,1.33,0.53,0.91,0.58,2.3,0,163.47
Nelamangala,1570,3,2,flat,affordable,1422,0.5,0.29,0.56,0.44,0.22,1,47.52
Rajarajeshwari Nagar,700,2,2,flat,mid,1847,0.19,0.14,0.7,0.3,0.65,0,37.61
Bagalur,1050,3,2,flat,affordable,1459,0.41,0.09,0.48,0.41,0.15,0,47.25
Koramangala,2277,3,3,independent,ultra_premium,3134,3.3,1.6,4.66,1.34,3.57,1,441.5
Hoskote,809,2,3,flat,affordable,1473,0.21,0.17,0.68,0.37,0.12,1,28.92
Chandapura,1454,2,3,independent,affordable,2488,1.37,0.64,2.0,0.61,0.36,1,73.48
Hoodi,1445,2,3,flat,mid,2459,0.91,0.45,0.47,0.33,1.78,0,81.28
Whitefield,2136,2,3,flat,premium,3118,1.04,0.97,0.56,0.6,3.33,1,228.13
Tumkur Road,1400,4,3,flat,mid,1847,0.34,0.37,0.47,0.52,1.29,0,62.37
Malleshwaram,1387,2,2,flat,premium,2186,0.47,0.27,0.78,0.41,1.52,0,159.61
Koramangala,830,2,2,flat,ultra_premium,2891,0.72,0.35,1.27,0.93,1.2,1,110.99
Mysore Road,1235,1,1,flat,mid,2272,0.61,0.19,0.67,0.36,1.4,1,56.71
Rajajinagar,1989,3,3,flat,ultra_premium,3953,1.74,0.45,0.69,0.97,3.93,1,268.09
Sarjapur Road,1953,5,4,independent,premium,3319,2.82,1.22,3.4,1.09,3.24,1,267.44
Thanisandra,1388,2,2,flat,premium,2073,0.83,0.39,1.34,0.76,1.44,0,97.85
BTM Layout,1938,2,2,flat,premium,2773,1.52,0.47,1.27,0.6,2.69,0,164.23
Bagalur,2104,2,2,independent,affordable,1940,1.66,1.0,1.99,0.8,0.41,0,133.27
Ramamurthy Nagar,1160,3,3,flat,affordable,1605,0.21,0.27,0.34,0.3,0.19,0,59.42
Vidyaranyapura,1486,2,2,flat,mid,2105,0.74,0.43,1.01,0.38,1.56,0,92.3
Attibele,2344,1,1,independent,affordable,2168,3.12,0.94,1.78,0.49,0.51,0,96.09
Bannerghatta Road,2035,3,2,flat,premium,2598,1.56,0.77,0.86,0.37,2.64,1,124.22
Yelahanka,2186,1,1,independent,mid,2949,3.85,1.23,3.18,0.6,3.22,1,174.76
Vidyaranyapura,2010,2,2,flat,mid,1673,0.56,0.23,0.82,0.49,1.68,0,113.49
Chandapura,1413,2,2,flat,affordable,1541,0.41,0.31,0.33,0.36,0.22,0,61.14
Malleshwaram,3509,4,4,independent,premium,2672,3.08,2.6,3.89,1.14,4.69,1,587.24
HSR Layout,833,2,2,flat,premium,2399,0.5,0.23,1.14,0.58,1.0,1,82.86
Kengeri,808,2,2,flat,mid,2364,0.4,0.27,1.13,0.57,0.95,1,28.35
HSR Layout,1854,4,3,independent,premium,3999,3.0,1.75,3.68,1.05,3.71,1,282.19
Basavanagudi,2558,5,4,flat,ultra_premium,3390,1.72,0.55,0.89,0.58,4.34,0,292.96
Banashankari,2567,3,2,independent,mid,2882,3.34,2.06,2.19,0.63,3.7,1,241.21
Hennur,1750,5,4,independent,premium,3863,4.5,1.13,3.03,0.9,3.38,0,262.0
Rajajinagar,4811,4,3,independent,ultra_premium,3628,8.99,4.82,5.47,2.36,8.73,0,1381.5
Horamavu,2113,3,2,flat,mid,2335,0.55,0.53,1.04,0.45,2.47,1,117.03
Devanahalli,1424,1,1,flat,affordable,1861,0.37,0.24,0.76,0.24,0.27,1,61.1
Basavanagudi,2337,3,2,independent,ultra_premium,4354,3.54,1.63,3.95,1.49,5.09,1,500.76
Marathahalli,1834,4,3,independent,premium,3174,3.35,0.93,4.12,1.6,2.91,1,207.16
Sarjapur Road,1566,2,2,flat,premium,2734,0.47,0.54,0.58,0.63,2.14,1,106.33
Horamavu,1435,2,2,flat,mid,1726,0.6,0.23,1.13,0.39,1.24,0,96.94
Ramamurthy Nagar,1527,1,2,flat,affordable,1320,0.52,0.3,0.68,0.36,0.2,0,66.12
Ramamurthy Nagar,1268,1,1,flat,affordable,1540,0.4,0.15,0.59,0.22,0.2,0,56.96
Horamavu,1059,3,3,flat,mid,2017,0.6,0.17,1.0,0.42,1.07,0,71.27
Chandapura,1632,3,2,flat,affordable,1978,0.38,0.39,0.34,0.2,0.32,1,59.11
Hennur,3166,5,4,independent,premium,3425,5.04,3.13,3.15,1.54,5.42,1,290.62
Tumkur Road,1468,2,2,flat,mid,1664,0.26,0.24,1.03,0.31,1.22,0,87.67
Hennur,2235,5,4,independent,premium,3118,2.57,1.07,2.37,1.38,3.48,0,240.9
Hoodi,1050,3,2,flat,mid,1994,0.61,0.16,1.0,0.4,1.05,0,87.97
Rajajinagar,1750,5,4,independent,ultra_premium,4880,4.62,2.39,4.97,1.43,4.27,0,480.14
Bagalur,1716,3,2,independent,affordable,1848,1.02,0.53,1.53,0.77,0.32,0,110.54
Marathahalli,1955,2,3,independent,premium,3584,4.8,2.03,3.86,1.37,3.5,1,227.27
Malleshwaram,1400,4,3,flat,premium,2525,0.43,0.25,1.1,0.79,1.77,0,130.44
Frazer Town,1750,5,4,flat,ultra_premium,3720,1.58,0.49,1.69,0.49,3.26,0,223.29
Yelahanka,988,2,3,flat,mid,2345,0.41,0.34,0.94,0.51,1.16,0,81.34
Mysore Road,1050,3,2,flat,mid,1952,0.36,0.24,0.7,0.45,1.02,0,67.77
Tumkur Road,700,2,2,flat,mid,2072,0.35,0.08,0.85,0.29,0.73,1,33.3
Banashankari,2030,1,1,flat,mid,1771,1.08,0.28,0.47,0.49,1.8,0,169.87
Hoskote,2274,2,2,independent,affordable,1800,2.0,1.18,1.22,0.95,0.41,1,91.84
Thanisandra,3697,3,3,independent,premium,3462,8.72,3.53,2.95,1.48,6.4,1,422.71
TC Palaya,1587,3,2,flat,affordable,1519,0.6,0.25,0.58,0.31,0.24,1,53.59
Nelamangala,1050,3,3,independent,affordable,2009,1.16,0.51,1.35,0.92,0.21,0,61.73
Bellandur,1567,4,3,independent,premium,3330,1.63,1.15,4.3,1.26,2.61,0,239.0
Hennur,3546,4,3,independent,premium,3964,5.99,3.01,2.54,1.42,7.03,1,296.12
Hoodi,2356,3,3,independent,mid,2955,2.27,2.03,1.7,1.01,3.48,1,195.75
Sarjapur Road,1682,4,4,flat,premium,2571,1.26,0.32,1.23,0.52,2.16,1,101.86
Devanahalli,1969,2,3,independent,affordable,2230,2.6,1.21,1.57,0.85,0.44,1,94.02
Hebbal,2778,4,3,flat,premium,2385,1.3,0.87,1.26,0.43,3.31,1,299.15
Attibele,692,1,1,flat,affordable,1411,0.24,0.12,0.72,0.31,0.1,1,17.78
Vidyaranyapura,1222,3,3,flat,mid,2023,0.41,0.16,0.68,0.48,1.24,0,81.91
Sarjapur Road,1400,4,3,flat,premium,3087,1.21,0.64,1.4,0.36,2.16,0,108.65
Malleshwaram,2973,5,5,independent,premium,3444,4.0,2.26,3.98,1.73,5.12,1,503.29
Indiranagar,3972,4,3,independent,ultra_premium,4019,10.06,3.06,5.33,2.34,7.98,1,817.69
Ramamurthy Nagar,1565,2,3,flat,affordable,1706,0.75,0.37,0.76,0.27,0.27,0,82.07
Hoskote,1235,3,2,flat,affordable,1430,0.41,0.18,0.49,0.29,0.18,0,49.93
Horamavu,1938,3,2,flat,mid,1637,0.34,0.31,0.47,0.43,1.59,1,80.43
Frazer Town,2700,4,3,flat,ultra_premium,2783,1.18,0.58,1.22,0.54,3.76,1,230.58
BTM Layout,1400,3,2,flat,premium,3200,0.84,0.42,1.34,0.7,2.24,0,131.16
Ulsoor,4367,3,2,independent,ultra_premium,4145,8.36,3.7,3.15,2.07,9.05,0,852.79
Thanisandra,1176,3,2,flat,premium,2231,0.4,0.36,1.07,0.53,1.31,1,81.64
HSR Layout,2381,3,2,independent,premium,3070,3.58,1.15,4.42,1.54,3.65,1,278.33
Basavanagudi,1125,3,3,flat,ultra_premium,3065,0.76,0.2,1.42,0.96,1.72,0,164.82
Frazer Town,2620,3,2,flat,ultra_premium,2928,1.67,0.47,1.76,0.5,3.84,0,301.87
Hebbal,2348,4,4,independent,premium,3025,2.47,1.1,2.1,1.29,3.55,0,298.64
Hebbal,2424,4,3,flat,premium,2926,2.01,0.73,0.6,0.59,3.55,0,273.18
Horamavu,1468,2,2,independent,mid,2118,1.06,0.59,1.77,1.19,1.55,0,110.23
Basavanagudi,4485,3,2,independent,ultra_premium,3099,6.32,2.82,3.45,1.84,6.95,1,520.92
Ulsoor,1591,3,3,flat,ultra_premium,3658,0.67,0.77,1.11,0.76,2.91,1,134.48
Chandapura,1400,3,2,flat,affordable,1407,0.25,0.23,0.63,0.27,0.2,1,46.54
Malleshwaram,1285,3,2,flat,premium,2681,0.92,0.24,1.21,0.33,1.72,0,116.65
Sarjapur Road,1759,3,2,flat,premium,2045,0.56,0.25,0.51,0.42,1.8,0,173.73
KR Puram,1050,3,2,flat,mid,2435,0.38,0.34,0.93,0.45,1.28,0,70.2
Hebbal,3684,4,4,independent,premium,3408,6.2,2.08,2.55,1.7,6.28,0,472.85
Horamavu,1690,1,1,flat,mid,2282,0.91,0.32,0.9,0.43,1.93,0,115.42
Ramamurthy Nagar,1574,2,2,flat,affordable,1597,0.61,0.2,0.52,0.3,0.25,1,56.39
Indiranagar,2033,2,2,flat,ultra_premium,2937,1.43,0.81,1.54,0.42,2.99,0,353.44
Whitefield,1144,3,3,flat,premium,2634,0.7,0.21,1.41,0.72,1.51,0,84.66
Jigani,1837,3,2,independent,affordable,1775,1.42,0.92,0.82,0.46,0.33,1,75.65
KR Puram,1660,2,2,independent,mid,2362,2.22,1.14,3.3,1.13,1.96,0,152.04
Hebbal,1400,4,3,flat,premium,2944,0.86,0.43,0.55,0.5,2.06,1,132.33
Electronic City,1091,2,2,flat,mid,2071,0.54,0.12,0.69,0.32,1.13,1,52.11
HSR Layout,1400,4,3,flat,premium,2410,0.99,0.34,1.13,0.48,1.69,1,95.13
Indiranagar,3370,4,3,flat,ultra_premium,2562,2.02,1.25,0.75,0.94,4.32,0,719.6
Ulsoor,2039,3,2,flat,ultra_premium,3073,0.98,0.77,1.63,0.79,3.13,0,248.76
Jigani,700,2,2,flat,affordable,1433,0.11,0.09,0.72,0.23,0.1,0,28.3
Ramamurthy Nagar,1648,2,2,independent,affordable,1695,1.11,0.55,1.57,0.93,0.28,0,101.24
TC Palaya,1562,3,2,independent,affordable,2349,1.16,1.0,2.06,0.48,0.37,0,109.74
Ulsoor,3103,5,4,flat,ultra_premium,2857,2.55,0.59,0.74,0.74,4.43,0,298.83
Jayanagar,2502,3,2,flat,ultra_premium,3745,2.71,0.75,0.92,0.57,4.69,1,232.2
MG Road,2827,4,3,independent,ultra_premium,3806,7.08,1.61,5.2,1.4,5.38,0,592.05
Vidyaranyapura,1912,2,2,flat,mid,2090,0.54,0.53,1.02,0.51,2.0,0,103.76
Nelamangala,1076,3,2,flat,affordable,1629,0.27,0.12,0.39,0.42,0.18,0,43.54
Horamavu,1458,3,2,independent,mid,2718,1.22,0.81,1.73,0.87,1.98,0,143.14
Hoskote,834,1,1,flat,affordable,1932,0.41,0.16,0.78,0.36,0.16,1,20.69
Koramangala,1400,4,4,flat,ultra_premium,2617,1.08,0.54,1.44,0.72,1.83,1,227.06
Jigani,1452,1,2,independent,affordable,1746,1.4,0.46,1.39,0.79,0.25,0,64.74
Sarjapur Road,2322,3,2,flat,premium,2052,1.02,0.64,0.9,0.45,2.38,0,222.17
HSR Layout,2164,4,3,independent,premium,3716,2.56,1.56,2.56,1.03,4.02,1,316.85
Whitefield,2660,3,3,independent,premium,3543,3.28,1.74,2.75,1.58,4.71,0,324.63
Thanisandra,2659,4,3,flat,premium,3033,1.04,1.14,0.78,0.75,4.03,0,214.08
Hebbal,2325,4,3,flat,premium,2077,1.25,0.36,0.96,0.54,2.41,0,245.61
Koramangala,2338,3,2,flat,ultra_premium,3141,1.94,1.0,0.61,0.71,3.67,0,322.8
Nelamangala,1050,3,2,independent,affordable,2419,0.95,0.5,1.71,0.76,0.25,0,71.71
Bannerghatta Road,2975,4,3,independent,premium,3440,6.28,2.88,3.73,1.37,5.12,1,428.65
Devanahalli,2065,2,3,independent,affordable,1874,2.02,0.76,1.14,0.53,0.39,1,157.83
Banashankari,2444,3,2,independent,mid,2934,2.99,1.84,2.81,0.75,3.59,0,242.39
Nelamangala,2017,2,2,independent,affordable,2413,1.89,0.77,0.93,0.59,0.49,0,134.56
TC Palaya,1074,1,2,flat,affordable,1957,0.4,0.13,0.64,0.47,0.21,0,32.61
Mysore Road,3019,2,2,independent,mid,2729,5.16,1.88,2.58,1.16,4.12,0,297.69
Nelamangala,1754,3,3,independent,affordable,2234,1.56,0.9,1.58,0.7,0.39,1,91.39
Sarjapur Road,2690,3,2,independent,premium,3143,5.1,1.74,2.46,1.56,4.23,0,398.46
HSR Layout,1947,3,2,flat,premium,2035,0.94,0.39,0.62,0.41,1.98,1,181.09
Ulsoor,3142,4,3,independent,ultra_premium,3367,4.24,2.23,3.65,2.23,5.29,0,686.16
Hennur,1050,3,2,flat,premium,2187,0.31,0.23,1.27,0.41,1.15,1,81.26
Yelahanka,1050,3,2,flat,mid,1609,0.46,0.18,0.71,0.39,0.84,0,57.22
Rajarajeshwari Nagar,1897,2,2,flat,mid,2021,0.43,0.37,0.42,0.46,1.92,0,82.18
Yelahanka,1105,3,2,flat,mid,2025,0.35,0.33,0.47,0.58,1.12,1,63.33
Kengeri,2180,3,2,flat,mid,1831,0.85,0.54,1.14,0.42,2.0,0,131.48
Hebbal,3335,4,3,independent,premium,3065,5.64,2.37,2.42,1.21,5.11,0,472.2
Frazer Town,3258,4,3,flat,ultra_premium,3038,2.04,1.07,1.56,0.6,4.95,0,340.69
Koramangala,2868,5,5,independent,ultra_premium,4794,6.73,3.44,3.02,1.45,6.87,1,523.6
HSR Layout,1050,3,2,flat,premium,3173,0.41,0.48,1.41,0.56,1.67,0,95.19
